amfi_code,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,DD_Rank,Fund_Score,CAGR_Points,Sharpe_Points,Alpha_Points,Expense_Points,DD_Points
148567,2.0,1.0,7.0,20.0,8.0,34.949999999999996,39.0,40.0,34.0,21.0,33.0
120843,7.0,2.0,5.0,19.0,13.0,33.25,34.0,39.0,36.0,22.0,28.0
120505,5.0,5.0,3.0,14.0,25.0,33.05,36.0,36.0,38.0,27.0,16.0
100033,4.0,7.0,6.0,15.0,20.0,32.6,37.0,34.0,35.0,26.0,21.0
120504,3.0,10.0,13.0,11.0,12.0,32.15,38.0,31.0,28.0,30.0,29.0
119094,1.0,11.0,9.0,15.0,28.0,31.099999999999998,40.0,30.0,32.0,26.0,13.0
119551,6.0,4.0,10.0,24.0,17.0,30.9,35.0,37.0,31.0,17.0,24.0
148569,8.0,3.0,4.0,29.0,21.0,30.599999999999998,33.0,38.0,37.0,12.0,20.0
101206,9.0,9.0,12.0,29.0,9.0,28.400000000000002,32.0,32.0,29.0,12.0,32.0
149323,11.0,6.0,8.0,30.0,22.0,27.9,30.0,35.0,33.0,11.0,19.0
119598,12.0,14.0,1.0,18.0,36.0,27.4,29.0,27.0,40.0,23.0,5.0
149324,10.0,13.0,2.0,22.0,37.0,27.349999999999998,31.0,28.0,39.0,19.0,4.0
118632,14.0,8.0,11.0,21.0,23.0,27.150000000000002,27.0,33.0,30.0,20.0,18.0
119552,23.0,12.0,15.0,4.0,11.0,26.4,18.0,29.0,26.0,37.0,30.0
125497,19.0,18.0,16.0,13.0,18.0,23.85,22.0,23.0,25.0,28.0,23.0
118635,17.0,19.0,23.0,12.0,10.0,23.75,24.0,22.0,18.0,29.0,31.0
118633,15.0,21.0,22.0,5.0,26.0,23.5,26.0,20.0,19.0,36.0,15.0
102885,18.0,16.0,19.0,27.0,7.0,23.049999999999997,23.0,25.0,22.0,14.0,34.0
148568,24.0,15.0,14.0,22.0,19.0,22.05,17.0,26.0,27.0,19.0,22.0
120503,25.0,17.0,17.0,17.0,14.0,21.900000000000002,16.0,24.0,24.0,24.0,27.0
120506,20.0,20.0,20.0,16.0,27.0,20.9,21.0,21.0,21.0,25.0,14.0
102887,13.0,22.0,21.0,31.0,30.0,19.75,28.0,19.0,20.0,10.0,11.0
120507,29.0,23.0,31.0,6.0,1.0,19.35,12.0,18.0,10.0,35.0,40.0
119093,16.0,29.0,28.0,7.0,31.0,19.2,25.0,12.0,13.0,34.0,10.0
149322,21.0,25.0,24.0,24.0,16.0,18.45,20.0,16.0,17.0,17.0,25.0
125498,26.0,27.0,26.0,9.0,29.0,17.0,15.0,14.0,15.0,32.0,12.0
120841,22.0,24.0,25.0,28.0,24.0,16.799999999999997,19.0,17.0,16.0,13.0,17.0
120844,30.0,34.0,32.0,3.0,2.0,16.450000000000003,11.0,7.0,9.0,38.0,39.0
118634,27.0,26.0,18.0,23.0,32.0,16.15,14.0,15.0,23.0,18.0,9.0
118636,33.0,38.0,35.0,1.0,6.0,13.85,8.0,3.0,6.0,40.0,35.0
119120,32.0,37.0,34.0,8.0,5.0,13.65,9.0,4.0,7.0,33.0,36.0
101208,31.0,40.0,33.0,10.0,3.0,13.3,10.0,1.0,8.0,31.0,38.0
100025,34.0,39.0,38.0,2.0,4.0,12.75,7.0,2.0,3.0,39.0,37.0
120842,28.0,30.0,29.0,26.0,33.0,12.100000000000001,13.0,11.0,12.0,15.0,8.0
119092,36.0,31.0,30.0,31.0,15.0,10.3,5.0,10.0,11.0,10.0,26.0
101207,39.0,28.0,27.0,23.0,38.0,9.65,2.0,13.0,14.0,18.0,3.0
119599,38.0,32.0,36.0,5.0,40.0,9.65,3.0,9.0,5.0,36.0,1.0
119095,40.0,33.0,37.0,15.0,39.0,7.2,1.0,8.0,4.0,26.0,2.0
100016,35.0,35.0,39.0,25.0,34.0,6.8,6.0,6.0,2.0,16.0,7.0
102886,37.0,36.0,40.0,21.0,35.0,6.25,4.0,5.0,1.0,20.0,6.0
